track,artist,final_emotion,reason,lyrics
Let My Home Be My Gallows,Hans Zimmer,fear,Track was not found,
Circlewinds,Falling Up,fear,Track was not found,
Body and Blood,Elysian Blaze,fear,Track was not found,
Sous la pierre brisée,Artesia,fear,Track was not found,
A Choir for Venus,Elysian Blaze,fear,Track was not found,
Abschied von der Sonne,Apoptose,fear,Track was not found,
0009,Hecq,fear,Track was not found,
Victorian Meltdown,Atrium Carceri,fear,Track was not found,
0007,Hecq,fear,Track was not found,
0010,Hecq,fear,Track was not found,
SVP,Antipop Consortium,fear,Track was not found,
Double Vision,Cabaret Voltaire,fear,Track was not found,
Undead Hunters,Midnight Syndicate,fear,Track was not found,
A Growing Feeling,Two Steps from Hell,fear,Track was not found,
Gigi's Way (Andando Altrove),Gigi D'Agostino,fear,Track was not found,
Remnants,Sinke Dûs,fear,Track was not found,
Tuning In,Speedy J,fear,Track was not found,
Sports,The Out Crowd,fear,Track was not found,
The Gathering,Michael Stearns,fear,Track was not found,
Shrek,The Beta Band,fear,Track was not found,
Worthless Fucking Cunt,Apartment 213,fear,Track was not found,
Mudo e Surdo,Paus,fear,Track was not found,
Living Walls,Midnight Syndicate,fear,Track was not found,
The Last Knight Errant,Ordo Funebris,fear,Track was not found,
Manunkind,Coil,fear,Track was not found,
Esprits Des Bois,Stille Volk,fear,Track was not found,
Everyone,Astrobotnia,fear,Track was not found,
Heavy Blood,Scorn,fear,Track was not found,
Yenelik (Part Ii),Sultan,fear,Track was not found,
Ego Manic Kid,Blonde Redhead,fear,Track was not found,
Atoll,Lustmord,fear,Track was not found,
Trinity,Lustmord,fear,Track was not found,
From The Eventide Pool,Inverloch,fear,Track was not found,
Lucky Duck,Master Musicians of Bukkake,fear,Track was not found,
Blackbird,Louisa John-Krol,fear,Track was not found,
Pazuzu,Pazuzu,fear,Track was not found,
Surround Me,Harvestman,fear,Track was not found,
0017,Hecq,fear,Track was not found,
Epiceas,Empusae,fear,Track was not found,
Faith in Me,Pole Folder,fear,Track was not found,
Zauberberg,Gas,fear,Track was not found,
Veien,Penitent,fear,Track was not found,
Without Stopping (Witchman Mix),Bowery Electric,fear,Track was not found,
The Night Must Fall,Squadra Blanco,fear,Track was not found,
復闊の日 ～Prologo～,志方あきこ,fear,Track was not found,
Can I See Your Clock,Jandek,fear,Track was not found,
Part 2,Robert Rich,fear,Track was not found,
Beauty in the Fear,Planetary Assault Systems,fear,Track was not found,
Sunstroke,Scorn,fear,Track was not found,
The dark portal to infinity,Lyfthrasyr,fear,Track was not found,
The Curse,菊田裕樹,fear,Track was not found,
Gjallarhorn,The Panacea,fear,Track was not found,
Fall in Violet,Pole Folder,fear,Track was not found,
L'Hôtel,Yello,fear,Track was not found,
Melanthos,The Wounded Kings,fear,Track was not found,
As the Bubble Expands,Speedy J,fear,Track was not found,
Bliss and Void Inseparable,Black Boned Angel,fear,Track was not found,
A New Day to Say Hooray (Prometheus Mix),Shpongle,fear,Track was not found,
Awaken,Nordvargr,fear,Track was not found,
Two,John Most,fear,Track was not found,
Hooligans of doom,Goldroom,fear,Track was not found,
Five,John Most,fear,Track was not found,
Make It Stop,Klute,fear,Track was not found,
La ballade de Lénore,Shub-Niggurath,fear,Track was not found,
Delear Prius,Shub-Niggurath,fear,Track was not found,
調和～焔の共鳴～,志方あきこ,fear,Track was not found,
Bloodletting (Original),Saul Williams,fear,Track was not found,
Zoopathia,Stille Volk,fear,Track was not found,
Nimue,Trobar de Morte,fear,Track was not found,
The Pagan Way,Trobar de Morte,fear,Track was not found,
Luna Mecanica,Stille Volk,fear,Track was not found,
The Satanic Mass,Anton LaVey,fear,Track was not found,
Exuvie Bizarre,Stille Volk,fear,Track was not found,
Three,John Most,fear,Track was not found,
Buy More Now,Klute,fear,Track was not found,
Θεός αν είναι,Χάρις Αλεξίου,fear,Track was not found,
Smokestack,Freescha,fear,Track was not found,
Rose Wood,Zan-zan-zawa-veia,fear,Track was not found,
Undeadman (Mordant Music remix),Shackleton,fear,Track was not found,
Fifteen,John Most,fear,Track was not found,
The 12 Gates,Solaris,fear,Track was not found,
"A Rise, A Moment Before Something Unexpected Is On The Verge Of Starting",Boris,fear,Track was not found,
No One's Telling,Corrina Repp,fear,Track was not found,
Nicolas Ritter,Matthew Herbert,fear,Track was not found,
Dans L'...,Stille Volk,fear,Track was not found,
Garden of Earthly Delights,Voice of Eye,fear,Track was not found,
Dawn,Future 3,fear,Track was not found,
White Irises Blind (Minimal Mix),Scorn,fear,Track was not found,
"5 Elements (featuring Rubbabandz, Pop ""The Brown Hornet,"" Down Low Reka, Junelover) (Explicit)",Shyheim,fear,Track was not found,
On Ice (Disembodied in Dub),Scorn,fear,Track was not found,
Seven,John Most,fear,Track was not found,
Whoever You Are,Charles Manson,fear,Track was not found,
Oclupaca,Duke Ellington,fear,Track was not found,
Adultery,Ultraviolence,fear,Track was not found,
"Night On Bald Mountain (Noch' Na Lïsoy Gore), Symphonic Poem, Edited By Stokowski",Modest Petrovich Mussorgsky,fear,Track was not found,
Sauma (Magic),Yma Sumac,fear,Track was not found,
Twelve,John Most,fear,Track was not found,
The Priests,m²,fear,Track was not found,
Eleven,John Most,fear,Track was not found,
Rabbit In Your Headlights (w/ Unkle),Radiohead,fear,Track was not found,
Midnight Nation,Optiv,fear,Track was not found,
Thirteen,John Most,fear,Track was not found,
Excerpts From The Gnostic Mass,Aleister Crowley,fear,Track was not found,
Back & Spine (Fidel Astro Remix),Kasper Bjørke,fear,Track was not found,
WoOoOoOh,Limewax,fear,Track was not found,
J'ai vu naguère en peinture les harpies ravissant le repas de Phynée,Shub-Niggurath,fear,Track was not found,
A Distant Voice,Sonny Simmons,fear,Track was not found,
winds & ruins,m²,fear,Track was not found,
April,Slambo,fear,Track was not found,
Heliogabal I,m²,fear,Track was not found,
Transmigration (Bardo I),Voice of Eye,fear,Track was not found,
God's Gonna Cut You Down (Mondkopf Plus de Sommeil Remix),Johnny Cash,fear,Track was not found,
Hymn to the American People,Aleister Crowley,fear,Track was not found,
Il Sangue,Cultus Sanguine,fear,Track was not found,
Relics of the Undefeated Guard,m²,fear,Track was not found,
Masani,Nordvargr,fear,Track was not found,
Théâtrophone Abscons,Stille Volk,fear,Track was not found,
The Sacred Shrine,m²,fear,Track was not found,
dark days,Somatic Responses,fear,Track was not found,
Deus Sol Invictus,m²,fear,Track was not found,
Sing Me a Lullaby,Slambo,fear,Track was not found,
Trial of flames,Metus,fear,Track was not found,
Headrush,Mindustries,fear,Track was not found,
survive (live mix),Somatic Responses,fear,Track was not found,
control,Films,fear,Track was not found,
Fort Gnox,Zan-zan-zawa-veia,fear,Track was not found,
Grains and Waves,Stray Ghost,fear,Track was not found,
Reign,m²,fear,Track was not found,
Never Doin' That Again,Slambo,fear,Track was not found,
Bruxsa,Nordvargr,fear,Track was not found,
On These Nocturnal Wings,Cultus Sanguine,fear,Track was not found,
Guardians (part 2),Alchemorph Soundtracks,fear,Track was not found,
"Whores, Smoke & Shadows",m²,fear,Track was not found,
Satan Takes a Holiday,Anton LaVey,fear,Track was not found,
Lonely Woman,Desert Island Dicks,fear,Track was not found,
Alcohol Sea,KingBathmat,fear,Track was not found,
Book of Satan Verse I,Anton LaVey,fear,Track was not found,
adrift,Lowness,fear,Track was not found,
186000 Miles,New Flesh For Old,fear,Track was not found,
Square-Dimensional Space,m²,fear,Track was not found,
Necropolis,A Covenant of Thorns,fear,Track was not found,
Sixth Beings,The Outside Agency,fear,Track was not found,
Annihilation,Klute,fear,Track was not found,
The Emperor of Eternal Darkness,Mika Matsuura,fear,Track was not found,
Heliogabal II,m²,fear,Track was not found,
Anemone falling,Louisa John-Krol,fear,Track was not found,
Danse Macabre,Dr. Macabre,fear,Track was not found,
Spheres Of Fury (Stochastic Process remix by Techdiff),Hecq & Exillon,fear,Track was not found,
Earth Burner,Technical Itch,fear,Track was not found,
Hrbr Mstr,Zan-zan-zawa-veia,fear,Track was not found,
Pitch-Hiker,Pilldriver,fear,Track was not found,
Reality,Courtney Stodden,fear,Track was not found,
Königsforst,Gas,fear,Track was not found,
Tha Dog Song,Slambo,fear,Track was not found,
Cavalier,They Live,fear,Track was not found,
Floating,Slambo,fear,Track was not found,
Over-sked,Zan-zan-zawa-veia,fear,Track was not found,
Neo (Dom & Roland Remix),Hive,fear,Track was not found,
Dead Cows,Slambo,fear,Track was not found,
Mourning,Taciturne,fear,Track was not found,
Saudade - Part One,Stray Ghost,fear,Track was not found,
Carjacker,Slambo,fear,Track was not found,
Consumed,Slambo,fear,Track was not found,
K'in Sventa Ch'ul Me'tik Kwadulupe (Festival for the Holy Mother Guadalupe),Kronos Quartet,fear,Track was not found,
Crossing Colors,Michael Galasso,fear,Track was not found,
One,John Most,fear,Track was not found,
Escale,Ambre,fear,Track was not found,
Dragonkin,Slambo,fear,Track was not found,
Sly,Muhmood,fear,Track was not found,
The Warmth,Slambo,fear,Track was not found,
Mood 2 (Interlude),Brooklyn Bounce,fear,Track was not found,
