track,artist,lyrics
2 hearts,kylie minogue,"You make me invisible
Like the sky, you make my day
I feel so wonderful
Oh, oh, oh, don't let go
Deap and darker few
It feels like I never saw the sun
Should I shout for a rescue
Oh, oh, oh, don't let go
Oh, oh, oh, don't let go
Two hearts are beating, together
I'm in love (woohoo)
I'm in love (woohoo)
Is this forever, and ever
I'm in love (woohoo)
I'm in love (woohoo)
Two hearts are beating, together
I'm in love (woohoo)
I'm in love (woohoo)
Is this forever, and ever
I'm in love (woohoo)
I'm in love (woohoo)

Looks good in the sunshine
Hold on, 'cause I'm coming up for air
I cant even see up here
Oh, oh, oh, don't let go
Oh, oh, oh, don't let go
Two hearts are beating, together
I'm in love (woohoo)
I'm in love (woohoo)
Is this forever, and ever
I'm in love (woohoo)
I'm in love (woohoo)
Two hearts are beating, together
I'm in love (woohoo)
I'm in love (woohoo)
Is this forever, and ever
I'm in love (woohoo)
I'm in love (woohoo)
Two hearts (a-woo-woo-woo)
I'm in love (woohoo)
I'm in love (woohoo)
Is this forever, and ever
I'm in love (woohoo)
I'm in love (woohoo)
Two hearts are beating, together"
2 wicky,hooverphonic,"Prophet six zero zero nine one
This is the flight number of our galactic sun
Prophet six zero zero nine one
Before we start you should know that you're not the only one
Who can hurt me

S H one zero one five one
This is the serial number of our orbital gun
S H one zero one five one
You better be sure before you leave me for another one

You can hurt me
I can hurt you
You can hurt me

You can hurt me
I can hurt you
But you better be sure before you leave me for another one
I can hurt you
You can hurt me
But you better be sure before you leave me for another one..."
22nd century,nina simone,"There is no oxygen in the air
Men and women have lost their hair
Ashen faces, legs that stand
Ghost and goblins walk in this land
When tomorrow becomes yesterday
And tomorrow becomes eternity

When the soul with the soul goes way beyond
When life is taken and there are no more babies born
When there is no one and there is everyone
When there is no one and there is everyone

Tomorrow will be the 22nd century
Tomorrow will be the 22nd century
Tomorrow will be the 22nd century
It will be, it will be, it will be
It will be, it will be

The 21st century was here and gone
And the 20th century was the dawn
In the beginning of the end was the 21st
When the 20th century was at an end

1990 was the year
When the plagues flooded the earth
1988 was the year
When men and women struck out for freedom

And bloodletting was the thing that was
People said there was no cause
And there was no reason and there was no cause
1972 was right all the way

Drums and bugles blasting all through the day
Right wing, left wing, middle of the road
And side wind, back swing, back lash, whiplash
Grey stockings, red stockings
Liberation of women, libertion of men
Everyody carry your head low

Tomorrow will be the 22nd century
Tomorrow will be the 22nd century
Tomorrow will be the 22nd century
It will be, it will be, it will be
It will be

Liberation of animals
Prevention of cruelty to animals
Man and beast, flying and on flying
Flying things, revolution of music

Poetry, love and lives
Sex changing, changing, changing
Man is woman, woman is man
Even your brain is not your brain

Your heart is a plastic thing that can be bought
There are no more the diseases that can't be caught
Man became the thing, that he wash up man
Truly became his god

That was the day
That man and woman truly became bored
Man became his good, man became his evil
Man became his god, and man became his devil

Tomorrow will be the 22nd century
Tomorrow will be the 22nd century
Tomorrow will be the 22nd century
It will be, it will be, it will be

Young women without money caught
Big dogs living in marble loves
Young men die in the spring
Boys of seven falling in love

Give their lady fair a diamond ring
Wedding, wedding, wedding
You know a wedding ain't the thing
Don't want no preacher, don't want no preacherman preaching

Give me your hand, and take my hand
This is better than anybody's preacher man, yeah
The truth, the truth is now on pole
It says somebody else, somebody else, so am I told

Don't sway me over, don't try to sway me over
To your day, on your day
Your day will go away

Tomorrow will be the 22nd century
Tomorrow will be the 22nd century
Tomorrow will be the 22nd century
It will be, it will be, it will be

It will be, it will be, it will be
It will be, it will be, it will be
It will be"
23,jimmy eat world,"I felt for sure last night
That once we said goodbye
No one else will know these lonely dreams
No one else will know that part of me
I'm still driving away
And I'm sorry every day
I won't always love these selfish things
I won't always live
Not stopping
It was my turn to decide
I knew this was our time
No one else will have me like you do
No one else will have me, only you
You'll sit alone forever
If you wait for the right time
What are you hoping for
I'm here I'm now I'm ready
Holding on tight
Don't give away the end
The one thing that stays mine
Amazing still it seems
I'll be twenty-three
I won't always love what I'll never have
I won't always live in my regrets
You'll sit alone forever
If you wait for the right time
What are you hoping for
I'm here I'm now I'm ready
Holding on tight
Don't give away the end
The one thing that stays mine
You'll sit alone forever
If you wait for the right time
What are you hoping for
I'm here I'm now I'm ready
Holding on tight
Don't give away the end
The one thing that stays mine"
24 hours,sky ferreira,"The seconds run away, minutes passed
At speeds we can run at
As hours start to fade, deep into night
I'm not in the mood for laughing
It's slipping away
There's nothing we can do
It's slipping away
There's no tomorrow without you
I wish these 24 hours
Would never end
Oh, in these 24 hours
Wish the clock had no hand
For 24 hours
We still have time
For 24 hours
You're still mine
If this isn't real, just can't deal
In a way, you could say I was always a cynic
Hopeful for awhile, lost in denial
I wish this could last forever
It's slipping away
There's nothing we can do
It's slipping away
There's no tomorrow without you
I wish these 24 hours
Would never end
Oh, in these 24 hours
Wish the clock had no hand
For 24 hours
We still have time
For 24 hours
You're still mine
I wish these 24 hours
Would never end
I, I
I, I
I won't settle on, I won't settle on
I won't settle on
'Cause in 24 hours
'Cause in 24 hours
You'll be gone, you'll be gone
You'll be gone
In 24 hours
For 24 hours
We still have time
For 24 hours
You're still mine
I wish these 24 hours
Would never end
Oh, in these 24 hours
Wish the clock had no hand"
24/7,3t,"You need a man that satisfies (that satisfies)
Someone that cares for you (cares for you)
Someone to hold all through the night (trough the night)
Make your dreams come true (come true)
You need a man to treat you right (treat you right)
And knows just what to do (what to do)
Don't look too hard or else you pass him by (pass him by)
Break his heart in two (heart in two)
Don't you know

Pretty baby you drive me crazy
Fallin' for your love
It feels so good when I'm with you
Just being friends is not enough
I say could one day maybe
You be my lady
Together we be one
I thought you would realize (realize)
That I'm saving all my love
Ooh

24 / 7
I'll be right here waiting for you
Can't get you of my mind (my mind)
(Can't get you off of my mind)
Thinkin' 'bout lovin' you, kissin' and huggin' you
Can't get you off my mind
(I think about you all the time)
24 / 7
I'll be right here waiting for you
Can't get you off my mind (my mind)
Thinkin' 'bout lovin' you, kissin' and huggin' you
Can't get you off my mind

So take my hand girl don't be shy (don't be shy)
I promise I'll be true (I'll be true)
From now on it's you and I (it's you and I)
We share a love that's new (that's new)
Hold me, love me, never let me go
Anything girl I sacrifice (sacrifice)
That's to be with you (be with you)
Don't you know

Pretty baby you drive me crazy (drive me crazy)
Fallin' for your love
It feels too good to be with you
That' s why being friends is not enough
I say could one day maybe
You be my lady (be my lady)
Together we be one (be one)
One day girl you realize (realize)
That I' m saving all my love
24 / 7

I'll be right here waiting for you
Can't get you off my mind (my mind)
(Sayin' sayin')
Thinkin' 'bout lovin' you, kissin' and huggin' you
Can't get you off my mind
24 / 7 (24 / 7)
I'll be right here waiting for you
Can't get you off my mind (my mind)
(Sayin' sayin')
Thinkin' 'bout lovin' you, kissin' and huggin' you
Can't get you off my mind (can't get you off of my mind)
24 / 7
I'll be right here waiting for you (oh, baby)
Can't get you off my mind (oh, babe)
Thinkin' 'bout lovin' you, kissin' and huggin' you (oh girl)
Can't get you off my mind
(I'll be here waitin' and waitin' and waitin' and waitin')
24 / 7
I'll be right here waiting for you (for you)
Can't get you off my mind
(Baby)
Thinkin' 'bout lovin' you, kissin' and huggin' you
Can't get you off my mind
(Can't get you off of my mind)
24 / 7
I'll be right here waiting for you
('Cos I want you)
Can't get you off my mind
(And I need you)
Thinkin' 'bout lovin' you, kissin' and huggin' you
(I'll do anything to have you by my side)
Can't get you off my mind
24 / 7
I'll be right here waitin' for you (baby)
Can't get you off my mind
Thinkin' 'bout lovin' you, kissin' and huggin' you
Can't get you off my mind
24 / 7 (on my mind you're all the time)
I'll be right here waitin' for you
Can't get you off my mind (on my mind, girl all the time)
Thinkin' 'bout lovin' you, kissin' and huggin' you
(All the time you're on my mind)
Can't get you off my mind (you're on my mind, girl all the time)"
2,psyopus,"Dear brother symmetry conjoined
Like a birth right parasite
Our likeness of hearts is far too close
Leeching

Chained by life
Chained by life

Dear brother symmetry beside me conjoining,
Sustaining the smaller, weaker draining leeches!

God's art
In the form of monsters
God's art
In the shape of two

Sever bonding minds
Beyond these cursed parallel souls

You

Head fold dissected
Less parasite extracted
Scars scalpel the tombstone
And leave dear brother symmetry
Alone, he haunts our conscience
Leeching my nightmares"
39,the cure,"So the fire is almost out and there's nothing left to burn
I've run right out of thoughts and I've run right out of words
As I used them up, I used them up

Yeah the fire is almost cold and there's nothing left to burn
I've run right out of feeling and I've run right out of world
And everything I promised, and everything I tried
Yeah everything I ever did I used to feed the fire

I used to feed the fire
I used to feed the fire
I used to feed the fire
But the fire is almost out, is almost out

And there's nothing left to burn
No there's nothing left to burn
Not even this

And the fire is almost dead and there's nothing left to burn
I've finished everything
And all the things I promised, and all the things I tried
Yeah all the things I ever dreamed I used to feed the fire

I used to feed the fire
I used to feed the fire
I used to feed the fire
But the fire is almost out

Half my life I've been here
Half my life in flames
Using all I ever had, to keep the fire ablaze
To keep the fire ablaze
To keep the fire ablaze
To keep the fire ablaze

But there's nothing left to burn
No there's nothing left to burn
And the fire is almost out
There fire is almost out
Yeah, the fire is almost out, almost out
Almost out, almost out, almost out

And there's nothing left to burn"
3,britney spears,"One, Two, Three
Not only you and me
Got one eighty degrees
And I'm caught in between
Countin' One, Two, Three
Peter, Paul, and Mary
Gettin' down with Three P
Everybody loves... oh, countin'

Babe, pick a night
To come out and play
If it's alright
What do you say?
Merrier the more
Triple fun that way
Twister on the floor
What do you say?
Are you in?
Livin' in sin is the new thing
Yeah, are you in?
I am counting
One, Two, Three
Not only you and me
Got one eighty degrees
And I'm caught in between
Countin' One, Two, Three
Peter, Paul, and Mary
Gettin' down with 3P
Everybody loves... oh, countin'
One, Two, Three
Not only you and me
Got one eighty degrees
And I'm caught in between
Countin' One, Two, Three
Peter, Paul, and Mary
Gettin' down with Three P
Everybody loves... oh
Three is a charm
Two is not the same
I don't see the harm
So are you... game?
Let's make a team
Make 'em say my name
Lovin' the extreme
Now are you... game?
Are you in?
Livin' in sin is the new thing
Yeah, are you in?
I am counting
One, Two, Three
Not only you and me
Got one eighty degrees
And I'm caught in between
Countin' One, Two, Three
Peter, Paul, and Mary
Gettin' down with Three P
Everybody loves... oh, countin'
One, Two, Three
Not only you and me
Got one eighty degrees
And I'm caught in between
Countin' One, Two, Three
Peter, Paul, and Mary
Gettin' down with Three P
Everybody loves... oh
What we do is innocent
Just for fun and nothing meant
If you don't like the company
Let's just do it you and me
You and me
Or three
Or four
On the floor
One, Two, Three
Not only you and me
Got one eighty degrees
And I'm caught in between
Countin' One, Two, Three
Peter, Paul, and Mary
Gettin' down with Three P
Everybody loves... oh, countin'
One, Two, Three
Not only you and me
Got one eighty degrees
And I'm caught in between
Countin' One, Two, Three
Peter, Paul, and Mary
Gettin' down with Three P
Everybody loves... oh"
40 days,lali puna,"Fourty days and I miss you
I'm so high that I've lost my mind
It's the summer I'm thinking of
Fourty days and I'm blown away

If I saw something new
I guess I wouldn't worry
If I saw something new
I guess I wouldn't care

You said you're always sleeping
But if so, I'll be leaving
It's just that I'm always falling
And it makes me feel bad, yeah

If I saw something new
I guess I wouldn't worry
If I saw something new
I guess I wouldn't care

Just to try and watch you
Said I love the way that you smile, don't
Makes me try and watch you
I said I love the way that you smile, don't
Smile whenever I watch you
I said I love the way that you smile, don't
Smile whenever I watch you
I said I love the way that you smile, don't"
