track,artist,lyrics
but not for me,julie london,"They're writing songs of love
But not for me,
A lucky star's above
With love to lead the way,
I've found more clouds of gray
Than any Russian play
Can guarantee
I was a fool to fall
And get that way;
Hi ho alas and also lackaday
Although I can't dismiss the memory of his kiss
I guess he's not
He's not for me"
butterflies,kacey musgraves,"I was just coastin', never really goin' anywhere
Caught up in a web
I was gettin' kind of used to stayin' there

And out of the blue
I fell for you

Now you're liftin' me up, 'stead of holdin' me down
Stealin' my heart, 'stead of stealin' my crown
Untangled all the strings 'round my wings that were tied
I didn't know him and I didn't know me
Cloud nine was always out of reach
Now I remember what it feels like to fly
You give me butterflies

Kiss full of color, makes me wonder where you've always been
I was hiding in doubt 'til you brought me out of my chrysalis

And I came out new
All because of you

Now you're liftin' me up, 'stead of holdin' me down
Stealin' my heart, 'stead of stealin' my crown
Untangled all the strings round my wings that were tied
I didn't know him and I didn't know me
Cloud nine was always out of reach
Now I remember what it feels like to fly
You give me butterflies

Yeah, you give me butterflies

Ooh, ooh, ooh, ooh, ooh
Mm, mm

Now you're liftin' me up, 'stead of holdin' me down
You're takin' my hand, 'stead of takin' my crown
Untangled all the strings round my wings that were tied
I didn't know him and I didn't know me
Cloud nine was always out of reach
Now I remember what it feels like to fly
You give me butterflies

Mm, mm, mm
You give me butterflies
Mm, mm, mm, mm
Mm, mm, mm"
butterfly,crazy town,"Come my lady
Come, come my lady
You're my butterfly, sugar baby
Come my lady
Come, come my lady
You're my butterfly, sugar baby

Such a sexy, sexy pretty little thing
Fierce nipple pierce, you got me sprung with your tongue ring
And I ain't gonna lie 'cause your loving gets me high
So to keep you by my side, there's nothing that I won't try

Butterflies in her eyes, and the looks to kill
Time is passing, I'm asking could this be real
'Cause I can't sleep, I can't hold still
The only thing I really know is she got sex appeal

I can feel too much is never enough
You're always there to lift me up
When these times get rough
I was lost, now I'm found
Ever since you've been around
You're the women that I want
So yo, I'm putting it down

Come my lady
Come, come my lady
You're my butterfly, sugar baby
Come my lady you're my pretty baby
I'll make your legs shake
You make me go crazy

Come my lady
Come, come my lady
You're my butterfly, sugar baby
Come my lady you're my pretty baby
I'll make your legs shake
You make me go crazy (crazy, crazy)

I don't deserve you
Unless it's some kind of hidden message
To show me life is precious
Then I guess it's true
But to tell the truth, I really never knew 'til I met you
See I was lost and confused
Twisted and used up
Knew a better life existed, but thought that I missed it

My lifestyle's wild
I was living like a wild child
Trapped on a short leash paroled the police files
So yo, what's happening now?
I see the sun breaking down into dark clouds
And a vision of you standing out in a crowd, so

Come my lady
Come, come my lady
You're my butterfly, sugar baby
Come my lady you're my pretty baby
I'll make your legs shake
You make me go crazy

Come my lady
Come, come my lady
You're my butterfly, sugar baby
Come my lady you're my pretty baby
I'll make your legs shake
You make me go crazy

Hey, sugar momma, come and dance with me
The smartest thing you ever did was take a chance with me
Whatever tickles your fancy
Girl, it's me, and you like Sid and Nancy
So sexy, almost evil talkin' about butterflies in my head

I used to think that happy endings were only in the books I read
But you made me feel alive when I was almost dead
You filled that empty space with the love I used to chase
And as far as I can see, it don't get better than this
So butterfly, here is a song, and it's sealed with a kiss
And a thank you, miss

Come and dance with me
Come and dance with me
Come and dance with me
So come and dance with me
Uh-huh, uh-huh

Come my lady
Come, come my lady
You're my butterfly, sugar baby
Come my lady, you're my pretty baby
I'll make your legs shake
You make me go crazy

Come my lady
Come, come my lady
You're my butterfly, sugar baby
Come my lady, you're my pretty baby
I'll make your legs shake
You make me go crazy

Come my lady
Come, come my lady
You're my butterfly, sugar baby
Come my lady, you're my pretty baby
I'll make your legs shake
You make me go crazy

Come my lady
Come, come my lady
You're my butterfly, sugar baby
Come my lady, you're my pretty baby
I'll make your legs shake
You make me go crazy

Come and dance with me
Come and dance with me
Come and dance with me
Come and dance with me
Uh-huh, uh-huh

Come and dance with me
Come and dance with me
Come and dance with me
Come and dance with me
Come and dance with me
Come and dance with me
Come and dance with me
Yeah, come and dance with me"
butterscotch,cocorosie,"Lack widow and white wood
The darkness of a forest eerily returns
To stagger drunk like mud
Taking swings at your woman
Run!

Why does butterscotch taste so good?
And we can't have any
But we must, we should
Why does sugar cane taste so good?
Even though sugar can only do ya harm
You remind me of baseball
Tow trucks and the movies
Look sweet as to deliver me milk
Almost frozen on those wintry mornings
Don't slip, Mr. Mailman
Watch out for my dog!

Why does kissin' you feel so good?
Even though it ain't allowed
I know it sure damn should
Why does holdin' hands feel so right?
Got a bruise on my pinky ring from holdin' too tight
Black diamonds swoon the corner
Make it sparkle
It's all for sale
Pushin' snow on the summer kids
Lewd remarks lowering
Lick the lips, mischievous
Lick the lips, mischievous

Skittles are the rainbow
And every color's popular
Though red gets the most invitations
To the junior high celebrations
And I'll go alone, I don't care
'Cause rainbow's not my favorite color
I'll go alone, I don't care
It's not my favorite color

Why does butterscotch taste so good?
And we can't have any
But we must, we should
And why does sugar cane taste so good?
Even though sugar can only do ya harm
I'll go alone, I don't care
It's not my favorite color
Black widow and white wood"
button up your overcoat,ruth etting,"Listen, big boy, now that you got me made
Goodness but I'm afraid
Somethin's gonna happen to you
Listen, big boy, you gotta be hooked and how
I would die if I should lose you now

Button up your overcoat
When the wind is free
Take good care of yourself
You belong to me

Eat an apple every day
Get to bed by three
Oh, take good care of yourself
You belong to me

Be careful crossing streets, ooh, ooh
Cut out sweets, ooh, ooh
Lay off meat, ooh, ooh
You'll get a pain and ruin your tum-tum

Wear your flannel underwear
When you climb a tree
Oh, take good care of yourself
You belong to me

Button up your overcoat
When the wind is free
Oh, take good care of yourself
You belong to me, boop, boop-a-doop

When you sass a traffic cop
Use diplomacy
Just take good care of yourself
You belong to me

Beware of frozen ponds, ooh, ooh
Stocks and bonds, ooh, ooh
Peroxide blondes, ooh, ooh
You'll get a pain and ruin your bankroll

Keep the spoon out of your cup
When you're drinking tea
Oh, take good care of yourself
You belong to me

Don't sit on hornet's tails, ooh, ooh
Or on nails, ooh, ooh
Or third rails, ooh, ooh
You'll get a pain and ruin your tum-tum

Keep away from bootleg hooch
When you're on a spree
Oh, take good care of yourself
You belong to me"
buttons,sia,"You got me pushing imaginary buttons
Step away from me lover, away from me lover
You got me counting imaginary school children
Get away from me lover, away from me lover
Yes I can see that your carpet is animated
Walk away from me lover, away from me lover
Yes I see open wounds in everyone I've dated
Away from me lover, get away from me lover

I am no good for you
I'm seeing ghosts in everything I do
I am no good for you
I'm seeing ghosts in everything I do
I am no good for you
I'm seeing ghosts in everything I do
I am no good for you
I'm seeing ghosts in everything I do

You got me turning all the lights on and off
Walk away from me lover, away from me lover
When will you see that I am carrying this stuff?
Walk away from me lover, away from me lover
Can't you see that I am losing my marbles?
It's marvellous losing another, losing another

I am no good for you
I'm seeing ghosts in everything I do
I am no good for you
I'm seeing ghosts in everything I do
I am no good for you
I'm seeing ghosts in everything I do
I am no good for you
I'm seeing ghosts in everything I do

Walk away from me lover, away from me lover
Get away from me lover, away from me lover
Step away from me lover, away from me lover
Walk away from me lover, away from me lover"
by my side,dream evil,"With venom of steel, the enemy is closing in
With dark intentions and souls of black
Blood in the wind, a battle that can't be won
Thunder of steel, lightning attack!

There is no way out of here, hordes of warriors everywhere
Smell of death is drawing near,
Come and fight me if you dare!

Fight by my side, I will never let you down
Fight for your life, till the the end we're standing strong

Hell is unleashed, dead bodies on the ground
Few against many, that is what counts
Legions of doom, crush what is left of us
We need more men, we're going down!

There is no way out of here, hordes of warriors everywhere
Smell of death is drawing near,
Come and fight me if you dare!

Fight by my side, I will never let you down
Fight for your life, till the the end we're standing strong

There is no way out of here
Smell of death is drawing near
Fight me if you dare

Fight by my side, I will never let you down
Fight for your life, till the the end we're standing strong

Fight by my side, I will never let you down
Fight for your life, till the the end we're standing strong"
by your side,beachwood sparks,"You think I'd leave your side, baby
You know me better than that
You think I'd leave you down
When you're down on your knees
I wouldn't do that
'Cause I'll tell you're right
When you want

And if only
You could see into me
Oh, when you're cold
I'll be there
Hold you tight to me

When you're on the outside, baby
And you can't get in
I will show you
You're so much better
Than you know

When you're lost
When you're alone
When you can't get back again
I will find you, darling
And I will bring you home

And if you want to cry
I am here to dry your eyes
And in time
You'll be fine

You think I'd leave your side, baby
You know me better than that
You think I'd leave you down
When you're down on your knees
I wouldn't do that
I'll tell you're right
When you want

And if only
You could see into me
Oh, when you're cold
I'll be there
Hold you tight to me

Oh, when you're low
I'll be there
By your side, baby
Oh, when you're cold
I'll be there
Hold you tight to me

Oh, when you're low
I'll be there
By your side, baby
Oh, when you're low
I'll be there
By your side

Oh, when you're low
I'll be there
By your side, baby
Oh, when you're low
I'll be there
By your side, baby"
bye bye baby,bay city rollers,"If you hate me after what I say
Can't put it off any longer
Just gotta tell her anyway

Bye, bye baby, baby goodbye (bye baby, baby, bye, bye)
Bye, bye baby, don't make me cry (bye baby, baby, bye, bye)

You're the one girl in town I'd marry
Girl, I'd marry you now if I were free
I wish it could be

I could love you but why begin it?
'Cause there ain't any future in it
She's got me, but I'm not free, so

Bye, bye baby, baby goodbye (bye baby, baby, bye, bye)
Bye, bye baby, don't make me cry (bye baby, baby, bye, bye)

Wish I never had known you better
Wish I knew you before I met her, gee
How good it would be for me

Should've told her that I can't linger
There's a wedding ring on my finger
She's got me, but I'm not free, so

Bye, bye baby, baby goodbye (bye baby, baby, bye, bye)
Bye, bye baby, don't make me cry (bye baby, baby, bye, bye)

(Bye baby, baby, bye, bye)
(Bye baby, baby, bye, bye)

Baby, bye, bye (bye baby, baby, bye, bye)
Baby, bye, bye (bye baby, baby, bye, bye)
Baby, bye, bye (bye baby, baby, bye, bye)

Baby, bye, bye (bye baby, baby, bye, bye)
Baby, bye, bye (bye baby, baby, bye, bye)"
cable tv,fol chen,"Now you've been working so hard
Running in circles
Like a robot shorting circuits
Like it's set to blow
I've gotta make an appointment
Just to kiss you
Baby, I'm not complaining
But I've got to know

Won't you come away with me
I'm not rich
But the first night is on me
You know I just got paid, baby
I know a place and they got cable TV

Now here we are
By the pool of this motel
Getting dizzy from the spritzers
And the desert heat
I'm getting tired of waiting
Fuck the hot tub
Let's go back to the room
And watch some cable TV

Won't you come away with me
The carpet's filthy but the ice is free
You know I just got paid
So we could order pay-per-view
If nothing's good on TV

It's getting late hit the lights
But leave the TV on
And put in the dance mix
Let the boom box boom
I thought that I knew what love was
Then I saw you
Dancing in your underwear to
""When I Think of You""
When I think of you, baby
(My heart just triples in size)
When I think of you, baby"
calice,chico buarque,"Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue

Pai, afasta de mim esse cálice, pai
Afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue

Como beber dessa bebida amarga
Tragar a dor, engolir a labuta
Mesmo calada a boca, resta o peito
Silêncio na cidade não se escuta

De que me vale ser filho da santa
Melhor seria ser filho da outra
Outra realidade menos morta
Tanta mentira, tanta força bruta

Pai (pai)
Afasta de mim esse cálice (pai)
Afasta de mim esse cálice (pai)
Afasta de mim esse cálice
De vinho tinto de sangue

Como é difícil acordar calado
Se na calada da noite eu me dano
Quero lançar um grito desumano
Que é uma maneira de ser escutado

Esse silêncio todo me atordoa
Atordoado eu permaneço atento
Na arquibancada pra qualquer momento
Ver emergir o monstro da lagoa

Pai (pai)
Afasta de mim esse cálice (pai)
Afasta de mim esse cálice (pai)
Afasta de mim esse cálice
De vinho tinto de sangue

De muito gorda a porca já não anda (cálice)
De muito usada a faca já não corta
Como é difícil, pai (pai), abrir a porta (cálice)
Essa palavra presa na garganta

Esse pileque homérico no mundo
De que adianta ter boa vontade
Mesmo calado o peito, resta a cuca
Dos bêbados do centro da cidade

Pai (pai)
Afasta de mim esse cálice (pai)
Afasta de mim esse cálice (pai)
Afasta de mim esse cálice
De vinho tinto de sangue

Talvez o mundo não seja pequeno (cálice)
Nem seja a vida um fato consumado (cálice, cálice)
Quero inventar o meu próprio pecado
(Cálice, cálice, cálice)
Quero morrer do meu próprio veneno
(Pai, cálice, cálice, cálice)

Quero perder de vez tua cabeça (cálice)
Minha cabeça perder teu juízo (cálice)
Quero cheirar fumaça de óleo diesel (cálice)
Me embriagar até que alguém me esqueça (cálice)"
california girl,joe purdy,"She's walkin' away
She's makin' a stand
She's movin' to a new life
She's movin' with a new man
Well I've got news for her
The kind that I can't say
Because I came to my senses just a little too late

So I'll watch her drive away
And I'll wave goodbye
And as her tail lights fade into the night sky

Say hey, don't you leave me in L.A. alone
Lover, please turn that car around and come back home
New York is such a beautiful city I'm sure
It's just too far for my California girl

She was so sweet
And she was so kind
So leave it up to me
Not to make up my mind in time
So I guess she'll be the one
To which no one will ever compare
And I guess she couldn't wait on me forever, yeah

So I'll watch her drive away
And I'll wave goodbye
And as her tail lights fade into the night sky

Say hey, don't you leave me in L.A. alone
Lover, please turn that car around and come back home
New York is such a beautiful city I'm sure
It's just too far for my California girl

Do you remember when we used to drive
With the windows down?
You remember how I used to hold you when the lights went out?
Do you remember when we looked at the stars
And listened to the waves come down?

Do you remember the good times
Do you remember the good times
Do you remember the good times
'Cause I remember the good times

Say hey, don't you leave me in L.A. alone
Lover... please please please please... turn your car around and come back home
New York is such a beautiful city I'm sure
It's just too far from California
Just too far from California
A little too far from California for me
For me"
california,hawk nelson,"I'm not falling for anymore of these tricks
I'm so tired of ever thing here
The sun is calling me to the west
Everyone's having fun out there

My bags are packed as I'm looking out the window
Everything is so outdated here
I wanna move west to were the sun is shining
I want my friends to all be there

Oh oh oh oh
Oh oh oh oh

Let's pack up and move to California
She's got lots of friends out there
We'll never get bored 'cause we can go boardin'
Let's let the sunshine take us there

I am tired of taking it slow
So, tired but I'm not sleepin'
I'm wired, about to pick up my board
'Cause we're all headed out for the weekend

Let's pack up and move to California
Hop on board before we get older
Raise you hands and shout for California
Come on, come on, come on, come on

Lets pack up and move to California
She's got lots of friends out there
We'll never get bored 'cause we can go boardin'
Lets let the sunshine take us there

Come on, come on, come on, come on
Oh oh oh oh oh oh oh oh

Lets pack up and move to California
She's got lots of friends out there
We'll never get bored 'cause we can go boardin'
Lets let the sunshine take us there

Lets pack up and move to California
She's got lots of friends out there
We'll never get bored 'cause we can go boardin'
Lets let the sunshine take us there

Let's pack up and move to California
Hop on board before we get older
Raise you hands and shout for California
Come on, come on, come on, come on"
call it what you want,taylor swift,"My castle crumbled overnight
I brought a knife to a gun fight
They took the crown, but it's alright
All the liars are calling me one
Nobody's heard from me for months
I'm doing better than I ever was
'Cause

My baby's fit like a daydream
Walking with his head down
I'm the one he's walking to
So call it what you want, yeah
Call it what you want to

My baby's fly like a jet stream
High above the whole scene
Loves me like I'm brand new
So call it what you want, yeah
Call it what you want to

All my flowers grew back as thorns
Windows boarded up after the storm
He built a fire just to keep me warm
All the drama queens taking swings
All the jokers dressing up as kings
They fade to nothing when I look at him

And I know I make the same mistakes every time
Bridges burn, I never learn
At least I did one thing right
I did one thing right
I'm laughing with my lover
Making forts under covers
Trust him like a brother
Yeah, you know I did one thing right
Starry eyes sparking up my darkest night

My baby's fit like a daydream
Walking with his head down
I'm the one he's walking to
So call it what you want, yeah
Call it what you want to

My baby's fly like a jet stream
High above the whole scene
Loves me like I'm brand new
So call it what you want, yeah
Call it what you want to

I want to wear his initial
On a chain 'round my neck
Chain 'round my neck
Not because he owns me
But 'cause he really knows me
(Which is more than they can say)

I recall late November
Holding my breath, slowly I said
You don't need to save me
But would you run away with me?
Yes

My baby's fit like a daydream
Walking with his head down
I'm the one he's walking to
So call it what you want, yeah
Call it what you want to

My baby's fly like a jet stream
High above the whole scene
Loves me like I'm brand new
So call it what you want, yeah
Call it what you want to

(Call it what you want)
(Call it what you want, call it)
(Call it what you want)
(Call it what you want, call it)
(Call it what you want)
(Call it what you want, call it)
(Call it what you want)
(Call it what you want, call it)
(Call it what you want)
(Call it what you want, call it)

Call it what you want, yeah
Call it what you want, to"
call me,aretha franklin,"I love you (I love you)
And I love you (I love you)
And I love you too (and I love you)
Baby will you call me the moment you get there?

Hey baby, um-hum
And I love you (I love you)
And I love you too (I love you)
And I love you (and I love you)
Baby will you
Call me (Call me) the moment (The moment)
(You get there) you get there (Yeah)
Yeeeeaaaah, bab-bay-a-yea-yea

My dearest, my dearest of all darling (ah-ooo)
I know, I know, I know
I know we've got to part
(Ah-ooo)
Baby, baby, baby, baby, baby

It really doesn't hurt me that bad yeah (ah-ooo)
Because you're takin' me with you
And I'm keepin' you
Right-a here in my heart

It's all because I love you (I love you)
Woo-hoo and I love you (I love you)
And I love you too (And I love you)
Baby will you call me the moment you get there, baby
Will you do that?
Will you do that for me now?

Oh-oh-oh-oh, call me
(Call me) call me the hour
(The hour) Call me the minute (The minute)
The second that you get there?
Baby, baby, baby, baby, call me (The moment)
Call me the moment (Call me)
'Cause I love you call me the minute (the moment)
Yeah, yeah, call me, call me, call me, call me, call me, baby
Yeah, yeah, yeah (call me)
Call me the hour
(The hour)
Call me the moment ya get there?

No don't forget about me baby
(Baby) I love you
(Baby) Call me
(And when you get there
Call me, call me, call me
(Baby)
Call me baby

Call me the minute, the hour, the second
(Call me, call me, call me, call me, call me baby)
Yeah, call me baby (The minute)
Call me the minute (Second) the second
Don't forget about the hour (don't forget, don't forget)
About me baby
Don't forget, don't forget about me baby
(The moment) call me the moment
(Call me) call me

(You got to call me)
(Call me, call me, call me, call me bab-ay)
Oh yeah"
call out my name,the weeknd,"We found each other
I helped you out of a broken place
You gave me comfort
But falling for you was my mistake

I put you on top, I put you on top
I claimed you so proud and openly
And when times were rough, when times were rough
I made sure I held you close to me

So call out my name (call out my name)
Call out my name when I kiss you, so gently
I want you to stay (I want you to stay)
I want you to stay even though you don't want me

Girl, why can't you wait? (Why can't you wait, baby?)
Girl, why can't you wait 'til I fall out of love?
Won't you call out my name? (Call out my name)
Girl, call out my name and I'll be on my way, and
I'll be on my-

I said I didn't feel nothing, baby, but I lied
I almost cut a piece of myself for your life
Guess I was just another pit stop
'Til you made up your mind
You just wasted my time

You were on top, I put you on top
I claimed you so proud and openly, babe
And when times were rough, when times were rough
I made sure I held you close to me

So call out my name (call out my name, baby)
So call out my name when I kiss you, so gently
I want you to stay (I want you to stay)
I want you to stay even though you don't want me

Girl, why can't you wait? (Girl, why can't you wait 'til I-)
Girl, why can't you wait 'til I fall out of loving?
Babe, call out my name (say call out my name, baby)
Girl call out my name and I'll be on my way, girl
I'll be on my-

On my way, all the way
On my way, all the way, ooh

On my way, on my way, on my way
On my way, on my way, on my way

(On my)"
calling me,charlie winston,"I heard you calling me
As I was swept away deeper into the sea
In love, I missed it's treachery, swimming free
And in one breath a twist of fate made history

Mother Nature took me in
She swept me under then I knew it was my end
My whole life flashed in front of me, so suddenly
And sinking down I knew I could still hear your scream

I hear you calling me
There's nothing I can do
I hear you calling me
To answer back to you

Ooh

And now you're losing sleep
With memories, you spend all night playing hide and seek
Replaying how it should've been and could've been
If only there were omens that you could've seen

Back in that room again
You hope to reach me through a medium
But there's no use
I can't reply to this lover's cry
Oh How I wish I could see you
One more time
To say goodbye

I hear you calling me
There's nothing I can do
I hear you calling me
To answer back to you

Mmh

I hear you calling me
There's nothing I can do
I hear you calling me
To answer back to you"
calling,geri halliwell,"The sun is going down on me
As she surrenders to the sea
So steal the night and fly with me
I'm calling, I'm calling

The moon is high on me and you
Is my message breaking through
Darkened skies that once were blue
Are falling
(So hear me now)

Calling out your name
Burning on the flame
Playing the waiting game
In my calling
In my calling

(Forever and ever)

Through distant lands, through mountain streams
My river's running through your dreams
There's an ocean in between
Forever and ever

Chasing shadows through the years
I whisper softly to my dear
Be sure to know that I am here
Forever
So hear me now

Calling out your name
(A wish that could come true)
Burning on the flame
(I'm reaching out to you)
Playing the waiting game
In my calling
In my calling

Whispers in the air
(I dream you into life)
Hear a lover's prayer
(I pray for you tonight)
I can feel you there
In my calling
In my calling

No man is an island
That's an empty sin
Discovery is a journey
Just have to let me in

Calling out your name
(A wish that could come true)
Burning on the flame
(I'm reaching out to you)
Playing the waiting game

Calling out your name
(A wish that could come true)
Burning on the flame
(I'm reaching out to you)
Playing the waiting game

In my calling
In my calling

Whispers in the air
(I dream you into life)
Hear a lover's prayer
(I pray for you tonight)
I can feel you there
In my calling
In my calling

No man is an island
(A wish that could come true)
That's an empty sin
(I'm reaching out to you)
So steal the night and fly with me
I'm calling
Hear my calling"
camera,r.e.m.,"From the inside room when the front room greeting
Becomes your special book, it was simple then
When the party lulls, if we fall by the side
Will you be remembered, will she be remembered

Alone in a crowd, a bartered lantern borrowed
If I'm to be your camera, then who will be your face

I fell by your bed once, I didn't want to tell you
I should keep myself in between the pages
Of the green light room, if we fall by the side
Will you be remembered, will she be remembered

Alone in a crowd, a bartered lantern borrowed
If I'm to be your camera, then who will be your face

From the inside room when the front room greeting
Becomes your special book, it was simple then
When the party lulls, if we fall by the side
I still like you, can you remember

Alone in a crowd, a bartered lantern borrowed
If I'm to be your camera, then who will be your face
Alone in a crowd, a bartered lantern borrowed
If I'm to be your camera, then who will be your face"
campfire,grizzly bear,"You made a campfire, I put it out I put it out
Let the long johns, fall down
Around your ankles and your toes
I know what I want to see
Lay there by the fire
By the fire
By the fire

There's a touch of you I think I can see
There's a touch of you I think I can see
By, the campfire"
can't feel my face,the weeknd,"And I know she'll be the death of me, at least we'll both be numb
And she'll always get the best of me, the worst is yet to come
But at least we'll both be beautiful and stay forever young
This I know, yeah, this I know

She told me, ""Don't worry about it""
She told me, ""Don't worry no more""
We both know we can't go without it
She told me you'll never be in love, oh, oh, woo

I can't feel my face when I'm with you
But I love it, but I love it, oh

I can't feel my face when I'm with you
But I love it, but I love it, oh
And I know she'll be the death of me, at least we'll both be numb
And she'll always get the best of me, the worst is yet to come

All the misery was necessary when we're deep in love
This I know, girl, I know
She told me, ""Don't worry about it""
She told me, ""Don't worry no more""

We both know we can't go without it
She told me you'll never be in love, oh, oh, woo

I can't feel my face when I'm with you
But I love it, but I love it, oh

I can't feel my face when I'm with you
But I love it, but I love it, oh
I can't feel my face when I'm with you
But I love it, but I love it, oh

I can't feel my face when I'm with you
But I love it, but I love it, oh
She told me, ""Don't worry about it""
She told me, ""Don't worry no more""
We both know we can't go without it
She told me you'll never be in love, oh, oh, woo
I can't feel my face when I'm with you
But I love it, but I love it, oh
I can't feel my face when I'm with you
But I love it, but I love it, oh"
can't find my way home,eric clapton,"Come down off your throne and leave your body alone
Somebody must change
You are the reason I've been waiting all these years
Somebody holds the key

But I'm near the end and I just ain't got the time
Oh, and I'm wasted, and I can't find my way home

Come down on your own and leave your money at home
Somebody must change
You are the reason I've been waiting so long
Somebody holds the key

But I'm near the end and I just ain't got the time
Oh, and I'm wasted, and I can't find my way home

But I can't find my way home
But I can't find my way home
But I can't find my way home
But I can't find my way home, no, no
No, I can't find my way home
And I ain't done nothing wrong, no, no
But I can't find my way home"
can't get enough,tamia,"I know you usually don't hear me talk like this
But I got a little game that I want to play
Are you ready?

When I think about you
I think about giving myself to you
'Cause you know I want you babe
And I will do anything
I know your thinking the same thing babe

So come and get it, get it (come and get it babe)
I'm so excited
I can't hide my feelings (I cant hide my feelings) get it
I won't stop until we start over and finish (finish)
Tonight it's all about my baby
I'm feenin' for you get me high
I can't stop you feel me right?

Close the door
Bed or floor
I just want more
I can't get enough of you
What I got in store
It's all of yours
I just want more
I can't get enough of you

Close the door
Bed or floor
I want more
I can't get enough of you
What I got in store
It's all of yours
I just want more
I can't get enough of you

When I think about us
I think about the way that we make love
The way that you make me sweat
Make me want a cigarette
And I ain't no smokin' chick
But you got me wantin' it
So don't stop (yeah)
You making me high
I feel it right there (yeah)
We tossing and turning
So keep it right there (yeah)
My adrenaline is pumping right
Stomach muscles getting tight
Skin so wet my fingers slide

Gone take you to a place
You ain't never been (again and again, want you to feel it baby)
Ooh ooh

I'm 'bout to handle my business that's (you)
Make sure you handle me too

Close the door
Bed or floor
I just want more
I can't get enough (I can't get enough baby) of you
What I got in store
It's all of yours
I just want more
I can't get enough of you

Close the door (ooh baby)
Bed or floor
I just want more
'Cause I can't get enough of you
What I got in store
It's all of yours
I just want more
'Cause I can't get enough of you

Come back baby, who's gonna be first to yell out
I know you'll lose after the second round
Then the consequence, maybe, that you'll have to switch to third round
And make me scream like when I put it down (now)

Put on a little show
To let you baby know
By then I should be screaming uncontrollably
Hope your ready to stay up
One time is not enough (one time)
'Cause nothings too much baby
You're just what I want baby

Close the door
Bed or floor (I want you)
I want more (I need you baby)
I can't get enough of you
What I got in store (baby what I got in store)
It's all of yours
I just want more (it's all yours)
I can't get enough of you (yeah, yeah, yeah)

Close the door (baby I just want to play)
Bed or floor (until you take my breath away)
I want more
I can't get enough of you (do you feel me)
What I got in store
It's all of yours (I know you do)
I just want more ('cause I feel you too)
I can't get enough of you (I can't get enough of you)

Close the door
Bed or floor
I want more ('cause I can't get enough of it)
I can't get enough of you
What I got in store (it's all)
It's all of yours (all yours)
I just want more (I just want that little bit more) I can't get enough of you

Close the door (when you think it's over)
Bed or floor (we're starting again)
I want more (this time we'll make it last)
I can't get enough of you (it won't end)
What I got in store (no no)
It's all of yours (I just want it)
I just want more
I can't get enough of you (I can't get enough of you)"
can't help falling in love,hi-standard,"Yeah
Wise men say
Only fools rush in
But I can't help falling in love with you
Shall I stay?
Would it be a sin?
If I can't help falling in love with you

Like a river flows (River flows)
Surely to the sea (To the sea)
Darling, so it goes
Some things (Some things) are meant to be

Take my hand
Take my whole life, too
For I can't help falling in love with you
Oh oh

Like a river flows (River flows)
Surely to the sea (To the sea)
Darling, so it goes
Some things (Some things) are meant to be

Take my hand
Take my whole life, too
For I can't help falling in love with you
For I can't help falling in love with you"
can't let go,amerie,"Yeah yeah
Yeah yeah yeah
Oh oh
Whoa yeah

I never knew real love, real love
Till you were mine
And I
And I never knew each touch
Between us would feel like the first time
The very first time, well
See I remember the days of hurt and pain
Just wouldn't let go, oh oh oh oh oh oh
And now every night shines so brightly
And I know, I know I'm not alone
Not alone no more, no

I can't let go
I can't let go
I can't let go, let go (I can't, let go, let go)
All I know
All I know, all I know
I know, I know
Is I can't
I can't let go

There's so much of you
Your love
Your love inside my heart
Words can't really explain
Explain and I
I just don't believe, I don't believe
That I can go on
If I ever let it slip away, slip away yeah

All I want to do is love you (All I want)
Everyday, Everyday (Everyday)
Now until forever
We belong
Your heart belongs to me
And that's the way it's suppose to be
Cause I won't let you go

I can't let go
I can't let go
I can't let go, let go (Let you go)
All I know
All I know, all I know (You make me feel so real)
I know, I know
Is I can't (yeah)
I can't let go

I can't let go (I can't let you go)
I can't let go (Or your lovin)
I can't let go, let go
All I know (All I know)
All I know, all I know
I know, I know
Is I can't (Can't let go)
I can't let go

Oh oh oh
Yeah yeah
Whoa whoa whoa

Now ever since we first met
I knew that you were the one for me, for me
And I
I promised myself that I would never let you leave
No no no no no no

Never lettin you leave
Never lettin you go
Never lettin you be
Not ever until I know
That you (you belong to me)

(Fade out)"
can't let you go,matchbox twenty,"I'll stick around
See how bad it gets
I'll settle down and deal with old regrets
You know I, I adore you

I Can't let you go
Can't let you go
You're part of my soul
You're all that I know
I Can't let you go

Is it better now
Do you feel like all is fair
Can we work it out
So that it's easier for me to bed
Because life, it can blind you

I Can't let you go
Can't let you go
You're part of my soul
You're all that I know

I Can't let you go

Down from the edge I can see you where we end
And i'd give up all of my days to go back
There was all this wonder
And all this magic
Has all this wonder, over and done

If love were a whisper
What could I give you to speak
Maybe you're out of my reach

I Can't let you go
Can't let you go
You're part of my soul
You're all that I know
I Can't let you go
I Can't let you go

You're part of my soul
You're all that I know"
